id,user_id,contest_id,submission_id,problem_index,problem_name,problem_rating,verdict,language,tags_jsonb,submitted_at,solved
46,2,4,328175411,A,Watermelon,800.0,COMPILATION_ERROR,GNU C11,"['brute force', 'math']",2025-07-09 04:47:14,0
45,2,4,328175680,A,Watermelon,800.0,OK,C++17 (GCC 7-32),"['brute force', 'math']",2025-07-09 04:51:24,1
44,2,2126,333225822,A,Only One Digit,800.0,OK,C++17 (GCC 7-32),"['brute force', 'implementation', 'math']",2025-08-10 05:29:11,1
43,2,2218,369760569,A,The 67th Integer Problem,800.0,WRONG_ANSWER,C++17 (GCC 7-32),"['brute force', 'games', 'implementation', 'math']",2026-04-04 16:33:12,0
42,2,2218,369762633,A,The 67th Integer Problem,800.0,OK,C++17 (GCC 7-32),"['brute force', 'games', 'implementation', 'math']",2026-04-04 16:37:16,1
41,2,2218,369763064,B,The 67th 6-7 Integer Problem,800.0,OK,C++17 (GCC 7-32),"['greedy', 'math']",2026-04-04 16:38:08,1
40,2,2218,369763608,C,The 67th Permutation Problem,800.0,OK,C++17 (GCC 7-32),"['constructive algorithms', 'greedy', 'math']",2026-04-04 16:39:08,1
39,2,2218,369774958,D,The 67th OEIS Problem,1100.0,WRONG_ANSWER,C++17 (GCC 7-32),"['constructive algorithms', 'greedy', 'math', 'number theory']",2026-04-04 17:21:00,0
38,2,2218,369775383,D,The 67th OEIS Problem,1100.0,WRONG_ANSWER,C++17 (GCC 7-32),"['constructive algorithms', 'greedy', 'math', 'number theory']",2026-04-04 17:23:57,0
37,2,2217,370144013,A,The Equalizer,800.0,SKIPPED,C++17 (GCC 7-32),['math'],2026-04-07 15:07:49,0
36,2,2217,370159887,B,Flip the Bit (Easy Version),1000.0,SKIPPED,C++17 (GCC 7-32),"['greedy', 'implementation']",2026-04-07 15:37:47,0
35,2,2220,371021448,A,Blocked,800.0,WRONG_ANSWER,C++17 (GCC 7-32),"['greedy', 'sortings']",2026-04-13 16:14:58,0
34,2,2220,371022419,A,Blocked,800.0,OK,C++17 (GCC 7-32),"['greedy', 'sortings']",2026-04-13 16:17:05,1
33,2,2160,371089651,A,MEX Partition,800.0,OK,C++17 (GCC 7-32),['math'],2026-04-14 06:56:28,1
32,2,2195,371693768,B,Heapify 1,900.0,WRONG_ANSWER,C++17 (GCC 7-32),"['implementation', 'sortings']",2026-04-18 19:31:47,0
31,2,2195,371693907,B,Heapify 1,900.0,WRONG_ANSWER,C++17 (GCC 7-32),"['implementation', 'sortings']",2026-04-18 19:33:34,0
30,2,2225,372004933,A,A Number Between Two Others,800.0,WRONG_ANSWER,C++17 (GCC 7-32),"['greedy', 'math']",2026-04-21 14:56:40,0
29,2,2225,372013687,A,A Number Between Two Others,800.0,OK,C++17 (GCC 7-32),"['greedy', 'math']",2026-04-21 15:09:00,1
28,2,2225,372034950,B,Alternating String,900.0,OK,C++17 (GCC 7-32),"['brute force', 'greedy']",2026-04-21 15:47:53,1
4781,2,2217,380178365,A,The Equalizer,800.0,OK,C++17 (GCC 7-32),['math'],2026-06-26 04:39:43,1
4782,2,2217,380181252,A,The Equalizer,800.0,OK,C++17 (GCC 7-32),['math'],2026-06-26 05:26:30,1
14250,5,2,7267,A,Winner,1500.0,WRONG_ANSWER,Delphi,"['hashing', 'implementation']",2010-02-25 17:07:53,0
14249,5,2,7331,A,Winner,1500.0,OK,Delphi,"['hashing', 'implementation']",2010-02-25 17:13:34,1
14248,5,2,7421,B,The least round way,2000.0,TIME_LIMIT_EXCEEDED,Delphi,"['dp', 'math']",2010-02-25 17:23:26,0
14247,5,2,7476,B,The least round way,2000.0,WRONG_ANSWER,Delphi,"['dp', 'math']",2010-02-25 17:28:21,0
14246,5,2,7531,B,The least round way,2000.0,OK,Delphi,"['dp', 'math']",2010-02-25 17:36:08,1
