Feature,Importance
max_rating_difference,0.13710916129163397
rating_difference,0.1335746190886693
problem_rating,0.06174560225942825
avg_tag_success,0.06172858356644129
weakest_tag_success,0.05521716728086576
historical_solve_rate,0.046211590054982606
strongest_tag_success,0.04490997575206392
recent_7d_solve_rate,0.0416399377919871
previous_problem_failures,0.041489732942778905
recent_30d_solve_rate,0.04092908179924236
previous_problem_attempts,0.03813757420514277
avg_tag_familiarity,0.0358812127872832
total_attempts,0.035649491440182805
avg_attempts_before_solve,0.035290208412351615
avg_solved_rating,0.031993880326420206
recent_wrong_answer_rate,0.03132998026893104
recent_30d_attempts,0.02835897913780819
recent_7d_attempts,0.02698262930810189
recent_tle_rate,0.020743065150215227
recent_runtime_error_rate,0.018401040578933683
recent_compilation_error_rate,0.01366839401430505
previous_problem_solved,0.009584231303102892
max_solved_rating,0.00942386123912803
